Median Home Value,Median Household Income,Zip Code
381000,79029,95304
272000,57679,95306
158500,47691,95307
213700,48929,95310
204000,33649,95311
341800,30811,95313
,,95314
135600,46010,95315
246500,70269,95316
260700,34783,95317
235800,55688,95320
258600,47321,95321
110500,35462,95322
314000,49896,95323
201500,49485,95324
,,95325
208700,50254,95326
194900,43042,95327
127000,35042,95328
210700,62371,95329
191700,60887,95330
159000,40274,95333
171200,48462,95334
346200,32951,95335
193500,57317,95336
247900,64813,95337
238100,49780,95338
165800,47779,95340
101400,33046,95341
,,95343
163700,41583,95345
339100,50983,95346
150700,40864,95348
149500,39195,95350
104900,31551,95351
127400,36285,95354
195400,55049,95355
220900,62050,95356
213800,55379,95357
149600,48183,95358
132400,42909,95360
264500,60972,95361
166600,53426,95363
,,95364
90800,32500,95365
304100,71560,95366
174100,57404,95367
177800,70875,95368
274000,49500,95369
275400,48583,95370
246600,71250,95372
291900,37391,95374
225400,63374,95376
287700,98072,95377
244400,50081,95379
159300,40564,95380
229300,65412,95382
316100,50368,95383
118200,38060,95385
145900,52560,95386
124000,40842,95388
226700,36875,95389
349500,99764,95391
321700,52830,95401
346800,60394,95403
473700,66366,95404
411700,71163,95405
273600,53729,95407
430500,66567,95409
400000,31760,95410
421400,51667,95412
383800,35871,95415
272000,71321,95417
480000,50074,95420
426500,57917,95421
97500,25460,95422
168600,28354,95423
352800,57379,95425
472500,26071,95427
223200,27339,95428
413600,52159,95429
600700,34044,95432
389000,47455,95436
333800,41496,95437
493800,50139,95439
613900,60357,95441
621100,57065,95442
,31848,95443
394600,73092,95444
383600,37389,95445
364300,39258,95446
580700,61952,95448
435000,40563,95449
506600,51250,95450
230300,47603,95451
592900,65223,95452
212600,43136,95453
328200,34755,95454
411200,38689,95456
211800,46277,95457
119100,25458,95458
366100,42426,95459
599700,51693,95460
287200,57726,95461
310300,37137,95462
,,95463
161500,26336,95464
635700,76439,95465
544100,48365,95466
195300,63281,95467
358500,44122,95468
428700,52902,95469
348500,62090,95470
616700,68223,95472
494800,58785,95476
,,95480
288600,47698,95482
172200,29741,95485
373100,53333,95488
244400,38394,95490
388500,80327,95492
635400,55104,95493
801100,47361,95494
248000,37600,95501
279900,47537,95503
156700,11955,95511
252500,20625,95514
304300,48914,95519
345100,34046,95521
432400,62557,95524
301800,49934,95525
109700,20083,95526
243800,33167,95527
329200,41597,95528
199700,39486,95531
358600,45188,95536
271800,40751,95540
457300,43021,95542
137500,29038,95543
120400,26786,95546
336900,58250,95547
120500,27243,95548
454400,52222,95549
172500,65417,95550
258800,45417,95551
239600,31688,95552
290000,31107,95554
213200,32750,95555
391700,36538,95558
286600,27635,95560
217100,42325,95562
197900,48571,95564
275000,52853,95565
234000,43125,95567
250000,53333,95568
258800,37727,95569
422000,47417,95570
251600,31530,95573
461900,27083,95585
500000,112083,95587
320300,50188,95589
198600,29318,95595
365100,64329,95602
339200,57779,95603
164500,38791,95605
,178295,95606
371400,77697,95607
301000,54322,95608
215500,50928,95610
476100,58147,95612
308800,92721,95614
384100,74583,95615
538200,44741,95616
555700,82313,95618
202900,57340,95619
287700,71261,95620
172400,53134,95621
338300,62321,95623
261900,77652,95624
193800,58333,95626
211700,58092,95627
332200,73720,95628
303800,41181,95629
385500,98547,95630
285200,62976,95631
212000,59731,95632
266100,65603,95633
277300,56528,95634
297300,43542,95635
174200,50000,95636
366100,72778,95637
321900,88188,95638
233100,58309,95640
213700,41618,95641
299100,44811,95642
206900,44954,95645
330600,71713,95648
407300,79743,95650
297400,55446,95651
,29583,95652
267400,80865,95655
414300,64821,95658
217500,42109,95659
134800,41036,95660
332300,69703,95661
251100,64991,95662
420100,125303,95663
389600,89141,95664
241300,46345,95665
254600,53391,95666
314300,57468,95667
275000,72422,95668
332500,67770,95669
213100,54915,95670
427700,93209,95672
